title,search_name,year,source,source_id,score,popularity,genres,format,cover_img,url,tags,ship_ref,note,desc,kind
Knights of Sidonia,Knights of Sidonia,2014,anilist,19775,73,48372,"Action,Fantasy,Mecha,Sci-Fi",TV,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx19775-h4Fc1q5qsGfP.png,https://anilist.co/anime/19775,世代飞船|硬科幻|机甲|生态穹顶,4,希德尼娅号：世代飞船+生态穹顶+重力子炮，主线第一参考,,anime
Planetes,Planetes,2003,anilist,329,80,64298,"Drama,Romance,Sci-Fi,Slice of Life",TV,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx329-4xwXdazRA7Ph.png,https://anilist.co/anime/329,硬科幻|太空作业|轨道工程,3,星空清理者：近地轨道作业硬核细节,,anime
Infinite Ryvius,Infinite Ryvius,1999,anilist,593,72,13109,"Drama,Mecha,Psychological,Sci-Fi",TV,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx593-LrgjfzlPADYF.jpg,https://anilist.co/anime/593,太空|青少年|封闭社会,3,无限的未知：船内社会崩溃实验,,anime
Legend of the Galactic Heroes: Die Neue These,Legend of the Galactic Heroes: Die Neue These,2018,anilist,20628,74,26803,"Action,Drama,Sci-Fi",TV,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx20628-46V7oj6rr9Ma.jpg,https://anilist.co/anime/20628,太空歌剧|政治|舰队战,2,银河英雄传说重制，舰队战美学,,anime
Cowboy Bebop,Cowboy Bebop,1998,anilist,1,86,462214,"Action,Adventure,Drama,Sci-Fi",TV,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx1-GCsPm7waJ4kS.png,https://anilist.co/anime/1,太空歌剧|西部|爵士,2,星际牛仔：1998 边界作，Bebop 号内部,,anime
Ghost in the Shell: Stand Alone Complex,Ghost in the Shell: Stand Alone Complex,2002,anilist,467,82,81507,"Action,Mystery,Psychological,Sci-Fi",TV,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx467-mBTtIoR13qs2.jpg,https://anilist.co/anime/467,赛博朋克|AI|义体,1,攻壳 SAC：赛博都市,,anime
PSYCHO-PASS,Psycho-Pass,2012,anilist,13601,81,352918,"Action,Psychological,Sci-Fi,Thriller",TV,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx13601-i42VFuHpqEOJ.jpg,https://anilist.co/anime/13601,反乌托邦|AI|近未来,0,心理测量者：西比拉系统,,anime
Steins;Gate,Steins;Gate,2011,anilist,9253,89,587368,"Drama,Psychological,Sci-Fi,Thriller",TV,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx9253-tIUXF2gfU8Sg.jpg,https://anilist.co/anime/9253,时间旅行|悬疑|科学,0,命运石之门,,anime
Space Dandy,Space Dandy,2014,anilist,20057,77,93995,"Comedy,Sci-Fi",TV,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx20057-tG83EpH5Gu8K.jpg,https://anilist.co/anime/20057,太空歌剧|喜剧|单元,1,太空丹迪：宇宙奇观,,anime
Eureka Seven,Eureka Seven,2005,anilist,237,78,87474,"Action,Adventure,Drama,Mecha,Romance,Sci-Fi",TV,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx237-P1YEQQFqZ1An.jpg,https://anilist.co/anime/237,机甲|成长|滑空,1,交响诗篇,,anime
Macross Frontier,Macross Frontier,2008,anilist,3572,76,29586,"Action,Mecha,Music,Romance,Sci-Fi",TV,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx3572-qYJhokKdsnZR.png,https://anilist.co/anime/3572,太空歌剧|歌|机甲,1,超时空要塞F,,anime
Fafner Exodus,Fafner Exodus,2015,anilist,17080,73,6608,"Drama,Mecha,Sci-Fi",TV,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx17080-snUj4m09qpXb.png,https://anilist.co/anime/17080,机甲|外星|悲剧,1,苍穹之法芙娜,,anime
Expelled From Paradise,Expelled from Paradise,2014,anilist,13391,70,27526,"Action,Mecha,Sci-Fi",MOVIE,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx13391-uj1wsF4E8mXO.jpg,https://anilist.co/anime/13391,赛博朋克|AI|剧场版,0,乐园追放,,anime
