title,type,artist,year,source,source_id,tags,ship_ref,note,url,cover_img,img_note
Neo - deco space yacht with interior,3D社区,Gebalt3Dee,2019,blenderartists,1196202,方舟飞船|巨构|Blender|社区论坛,4,"♥314 赞 · 回复152。Starting new with new ship, less insanity, better workflow a…",https://blenderartists.org/t/1196202,https://blenderartists.org/uploads/default/original/4X/2/1/5/21525c3093219f8c47b4eb903d64e8ac160c44f4.jpeg,Blender 论坛渲染图
Space elevator,3D社区,Linolafett,2020,blenderartists,1199707,太空电梯|巨构|Blender|社区论坛,4,♥124 赞 · 回复24。A kind of space elevator in lunar orbit. The original plan w…,https://blenderartists.org/t/1199707,https://blenderartists.org/uploads/default/original/4X/d/7/a/d7a0151101770581cb6e204200f29d7413a6bf65.gif,Blender 论坛渲染图
"Lamprey-45, Interstellar searcher",3D社区,wanoco4D,2022,blenderartists,1372270,星际飞船|巨构|Blender|社区论坛,4,♥117 赞 · 回复27。Spacecraft_Lamprey45_16 2400×2400 1.06 MB Hello! I made this…,https://blenderartists.org/t/1372270,https://blenderartists.org/uploads/default/original/4X/f/3/f/f3f98d52b69eacbbe217fdb67db1b6ae47adddc7.jpeg,Blender 论坛渲染图
Vintage Spaceship,3D社区,Nico_Buzeki,2025,blenderartists,1603391,飞船|外形|Blender|社区论坛,2,♥115 赞 · 回复9。Side 1600×1334 417 KB General 1600×1334 406 KB Top 2036×1334…,https://blenderartists.org/t/1603391,https://blenderartists.org/uploads/default/optimized/4X/e/8/1/e81ba946a87c489284c2ca7315516de97135bc2b_2_690x452.jpeg,Blender 论坛渲染图
Space Coffee,3D社区,crazyjn,2024,blenderartists,1525821,空间站|巨构|Blender|社区论坛,3,♥103 赞 · 回复12。I am trying to capture the essence of a girl enjoying a cup …,https://blenderartists.org/t/1525821,https://blenderartists.org/uploads/default/optimized/4X/c/4/2/c42153e1011ab4585ee32aa0cc612ab51bbbbd52_2_690x378.jpeg,Blender 论坛渲染图
Flora of an alien world,3D社区,Sol_Hunter,2021,blenderartists,1314761,外星世界|环境|Blender|社区论坛,1,♥103 赞 · 回复13。flower scene instagram 1920×1920 467 KB Played around with t…,https://blenderartists.org/t/1314761,https://blenderartists.org/uploads/default/optimized/4X/c/e/6/ce629b4e34695308e0006aabd774f21af0611034_2_690x388.jpeg,Blender 论坛渲染图
ESS Emalyn,3D社区,Immeasurably,2022,blenderartists,1394536,飞船|外形|Blender|社区论坛,2,♥98 赞 · 回复19。ESS_Emalyn_01 3840×2160 1.07 MB The ESS Emalyn is the first …,https://blenderartists.org/t/1394536,https://blenderartists.org/uploads/default/optimized/4X/5/1/1/51104eb31c744c24476f048ac7ebd7ea88d21312_2_690x388.jpeg,Blender 论坛渲染图
Alien Worlds: Jumpship over a tidally locked planet,3D社区,sml,2024,blenderartists,1556391,飞船|外形|Blender|社区论坛,2,♥90 赞 · 回复20。jumpship 3840×2160 836 KB jumpship_4 3840×2160 1.08 MB jumps…,https://blenderartists.org/t/1556391,https://blenderartists.org/uploads/default/optimized/4X/9/c/0/9c085f88551ad1beaa4615a5547aa8c4a5a4fba4_2_690x388.jpeg,Blender 论坛渲染图
Crashsite,3D社区,MrRolord,2020,blenderartists,1260344,飞船|外形|Blender|社区论坛,2,♥89 赞 · 回复13。Crashsite_08 3840×2160 1.38 MB A quick two day project I’ve …,https://blenderartists.org/t/1260344,https://blenderartists.org/uploads/default/optimized/4X/6/f/a/6fa7321401ef87bc2d53bdd6bf4e4d1734c55b31_2_690x388.jpeg,Blender 论坛渲染图
"SciFi Animation ""Alexander's run""",3D社区,Emi.M,2021,blenderartists,1277802,飞船|外形|Blender|社区论坛,2,♥88 赞 · 回复39。Made all in Blender 2.91 Render in Eevee. Sound editting in …,https://blenderartists.org/t/1277802,https://blenderartists.org/uploads/default/optimized/4X/6/6/a/66a82ba346e2898f51cecab70e913ce8552fca7f_2_690x293.jpeg,Blender 论坛渲染图
Nomad,3D社区,daniellee,2025,blenderartists,1581297,飞船|外形|Blender|社区论坛,2,♥87 赞 · 回复13。scene 3638×2046 1.83 MB I’ve been working on this project ov…,https://blenderartists.org/t/1581297,https://blenderartists.org/uploads/default/optimized/4X/f/1/1/f11e34428851faeb4f5a5119e39fb6afd2266411_2_690x388.jpeg,Blender 论坛渲染图
The Wreckage Of Ship,3D社区,Andy_Foo,2021,blenderartists,1293707,飞船|外形|Blender|社区论坛,2,"♥84 赞 · 回复23。Hello, it is my new work that I use blender and photoshop to…",https://blenderartists.org/t/1293707,https://blenderartists.org/uploads/default/optimized/4X/c/0/a/c0aecab58211b8e6ba19614ada8a0665b6472310_2_690x323.jpeg,Blender 论坛渲染图
Moon Orbiter - 3d-Print / Cycles,3D社区,Dmerc,2020,blenderartists,1212828,飞船|外形|Blender|社区论坛,2,♥82 赞 · 回复21。Moondrone_Cycles_Backview 1920×1094 263 KB Moondrone_Print_S…,https://blenderartists.org/t/1212828,https://blenderartists.org/uploads/default/original/4X/b/7/d/b7d5afcfcb73453174a5478412a50a739bd2f58b.gif,Blender 论坛渲染图
Purifiers,3D社区,Pierre_Lazarevic,2024,blenderartists,1556125,外星世界|环境|Blender|社区论坛,1,♥82 赞 · 回复12。pierre-lazarevic-01-recolting 3600×1531 1.29 MB Dude carryin…,https://blenderartists.org/t/1556125,https://blenderartists.org/uploads/default/optimized/4X/f/a/c/fac5a08238ca3332a03660f1628b615b779112bb_2_690x293.jpeg,Blender 论坛渲染图
The Giant Spaceship Thread,3D社区,JDaniels,2023,blenderartists,1472809,内部结构|甲板|Blender|社区论坛,3,"♥81 赞 · 回复33。Hi all, Well, it’s time to reintroduce The Giant Spaceship T…",https://blenderartists.org/t/1472809,https://blenderartists.org/uploads/default/optimized/4X/8/8/c/88c61cef02c29c9b42b250e6ef9f40a3ba27f319_2_690x293.jpeg,Blender 论坛渲染图
