title,type,artist,year,source,source_id,tags,ship_ref,note,url,cover_img,img_note
Need some space?,3D社区,Loïc Norgeot,2019,sketchfab,d6521362b37b48e3a82bce4911409303,空间站|巨构|3D模型|社区人气,3,♥5124 赞 · 462171 浏览。This model is the result of further programming experiments (C++) on m…,https://sketchfab.com/3d-models/none-d6521362b37b48e3a82bce4911409303,https://media.sketchfab.com/models/d6521362b37b48e3a82bce4911409303/thumbnails/4110f13d231a43ec89f534fb84511487/e84b440e5eb745db82a265b3d3203046.jpeg,Sketchfab 渲染图
Star Wars: The Clone Wars: Venator Prefab,3D社区,ShineyFX,2021,sketchfab,8a1e1760391c4ac6a50373c2bf5efa2e,主力舰|巨构|3D模型|社区人气,4,♥2722 赞 · 142579 浏览。This is a free fan resource of the Venator Star Destroyer corridor ins…,https://sketchfab.com/3d-models/none-8a1e1760391c4ac6a50373c2bf5efa2e,https://media.sketchfab.com/models/8a1e1760391c4ac6a50373c2bf5efa2e/thumbnails/b6daed3920e841898474a9488831c16b/3e987cd8b42e4f468bf40f46fd8b7486.jpeg,Sketchfab 渲染图
Sci-fi corridor,3D社区,3dhdscan,2017,sketchfab,5e6240c9b30145b0bf81fd02287985e3,走廊|环境|3D模型|社区人气,1,♥2100 赞 · 74044 浏览。Because today I am 40 and I get nice gifts I decided to give the commu…,https://sketchfab.com/3d-models/none-5e6240c9b30145b0bf81fd02287985e3,https://media.sketchfab.com/models/5e6240c9b30145b0bf81fd02287985e3/thumbnails/d0bf8a8fcfcf4d4c8fe76091f504c135/b834d777e1c546a9b83437d8f74c2ad2.jpeg,Sketchfab 渲染图
Space Station 3,3D社区,re1monsen,2023,sketchfab,a7a6ad10261149cab31aa394bfcf8940,空间站|巨构|3D模型|社区人气,3,♥1760 赞 · 71063 浏览。Drag and Drop and you are good to go. 4k Textures.  You can also find …,https://sketchfab.com/3d-models/none-a7a6ad10261149cab31aa394bfcf8940,https://media.sketchfab.com/models/a7a6ad10261149cab31aa394bfcf8940/thumbnails/a6b62933bcce43e3b801cf5a3e36ece3/d8a67ca49b54453ea6bb19170accbf4b.jpeg,Sketchfab 渲染图
Armpit City,3D社区,WillBrapLane,2020,sketchfab,960a3a67c1ee437c8e758287185b2396,城市|氛围|3D模型|社区人气,1,♥1423 赞 · 41095 浏览。The lower levels of a sprawling metropolis. Government issue housing p…,https://sketchfab.com/3d-models/none-960a3a67c1ee437c8e758287185b2396,https://media.sketchfab.com/models/960a3a67c1ee437c8e758287185b2396/thumbnails/5d1e0c3c991a46fc86549580e0b6512f/74a6108672b248cfabbe754f810dfe71.jpeg,Sketchfab 渲染图
D.S.S. Harbinger battle cruiser,3D社区,Comrade1280,2017,sketchfab,474f62d00ed54212b37f93ce91569c53,主力舰|巨构|3D模型|社区人气,4,♥1405 赞 · 53389 浏览。A good old workhorse of the Directorate Navy. It was constructed as ve…,https://sketchfab.com/3d-models/none-474f62d00ed54212b37f93ce91569c53,https://media.sketchfab.com/models/474f62d00ed54212b37f93ce91569c53/thumbnails/944a1de744f4471c837d1ce95fed4c5d/7bbf7a76f7ed48c1920a78ac2098a431.jpeg,Sketchfab 渲染图
Tattoine Buildings Kitbash,3D社区,chuckcg,2023,sketchfab,b5a2140fa2264bac8a4b6de3693272b6,城市|氛围|3D模型|社区人气,1,♥1349 赞 · 34018 浏览。Star wars kitbash pack  a collection of architecture and props from Mo…,https://sketchfab.com/3d-models/none-b5a2140fa2264bac8a4b6de3693272b6,https://media.sketchfab.com/models/b5a2140fa2264bac8a4b6de3693272b6/thumbnails/998ba6a9bbc744c996cfe9fa04083482/a81fe9da5de345be9ebe1b9e3a08812b.jpeg,Sketchfab 渲染图
Sci-Fi Hanger,3D社区,dylanheyes,2022,sketchfab,8f10be0e8b5644e1845a2a5f12af5d6c,空间站|巨构|3D模型|社区人气,3,♥1311 赞 · 51969 浏览。Low poly Sci-Fi Hanger which I made in my spare time. Perfect for spac…,https://sketchfab.com/3d-models/none-8f10be0e8b5644e1845a2a5f12af5d6c,https://media.sketchfab.com/models/8f10be0e8b5644e1845a2a5f12af5d6c/thumbnails/5abc35a7431c48fb809be573fc4adb9c/bf16b3a8e09141679c968e56e5265558.jpeg,Sketchfab 渲染图
Space Station Scene HD,3D社区,3DHaupt,2016,sketchfab,854c32b570d8498fa0cca4fe3350ccf9,空间站|巨构|3D模型|社区人气,3,♥1214 赞 · 57678 浏览。Here's an animated space station scene I made in 2016 for the[ Sketchf…,https://sketchfab.com/3d-models/none-854c32b570d8498fa0cca4fe3350ccf9,https://media.sketchfab.com/models/854c32b570d8498fa0cca4fe3350ccf9/thumbnails/307554ad4bd44edfb7d9cac7cabff3a6/2c983dc2f3eb471c8f8abef29173820c.jpeg,Sketchfab 渲染图
Sci-Fi Spaceship Bridge,3D社区,dylanheyes,2022,sketchfab,aaa5259e54e14c79936df3d127644287,空间站|巨构|3D模型|社区人气,3,♥1145 赞 · 43878 浏览。Simple Low-Poly Sci-Fi Spaceship/Starship bridge that I made in my spa…,https://sketchfab.com/3d-models/none-aaa5259e54e14c79936df3d127644287,https://media.sketchfab.com/models/aaa5259e54e14c79936df3d127644287/thumbnails/cff400ed14cb467b904e992b9a3582df/cec674502f1c4555afaf71052b292e61.jpeg,Sketchfab 渲染图
3D T.I.E Fighter - Star Wars model,3D社区,Mickael Boitte,2016,sketchfab,5375de94c2484ab0b2a2bd75aa63c2b4,飞船|外形|3D模型|社区人气,2,"♥1141 赞 · 67114 浏览。# TIE FIGHTER  Please, if you download it, don't forget to leave a lik…",https://sketchfab.com/3d-models/none-5375de94c2484ab0b2a2bd75aa63c2b4,https://media.sketchfab.com/models/5375de94c2484ab0b2a2bd75aa63c2b4/thumbnails/0ff3b3397a1f4916b7b6f90f4009090c/1024x576.jpeg,Sketchfab 渲染图
Sci-Fi Space Station,3D社区,Helindu,2020,sketchfab,f6b9106fffc64fec93cabc17492cb2e4,空间站|巨构|3D模型|社区人气,3,"♥1109 赞 · 48829 浏览。A model of a Sci-Fi Space Station ,modeled in Blender ,highly detailed…",https://sketchfab.com/3d-models/none-f6b9106fffc64fec93cabc17492cb2e4,https://media.sketchfab.com/models/f6b9106fffc64fec93cabc17492cb2e4/thumbnails/6aa7c4d7887943479159dba0836630d3/3a21517c170f4b97844e774094a3a3c7.jpeg,Sketchfab 渲染图
Sci-Fi Plant Capsule,3D社区,Berk Gedik,2021,sketchfab,bd2d05db1bf24143ac2030c57e1eb05e,飞船|外形|3D模型|社区人气,2,♥1079 赞 · 30083 浏览。Modeling with Blender 2.92 <br> Painting with Substance Painter <br>,https://sketchfab.com/3d-models/none-bd2d05db1bf24143ac2030c57e1eb05e,https://media.sketchfab.com/models/bd2d05db1bf24143ac2030c57e1eb05e/thumbnails/f16b2f758c024415a07d6e45a5e0e916/a7dce01a8eee4ebb96faab0fe310b2a7.jpeg,Sketchfab 渲染图
FREE Sci-Fi City - public domain (CC0),3D社区,Unity Fan youtube channel,2022,sketchfab,b353532235bb4c45afeac578187c9be1,城市|氛围|3D模型|社区人气,1,"♥1043 赞 · 45766 浏览。This is public domain (CC0), I'm as the author give it away to the Wor…",https://sketchfab.com/3d-models/none-b353532235bb4c45afeac578187c9be1,https://media.sketchfab.com/models/b353532235bb4c45afeac578187c9be1/thumbnails/a35f0af1c1cc4d6ba6fba8776001fe58/e1ed0dc2b0d14b67be840d7ebb6ec8d5.jpeg,Sketchfab 渲染图
Valkyrie,3D社区,McCarthy3D,2017,sketchfab,9ae1ab75f5a64d16b11371913fc932e9,引擎|推进|3D模型|社区人气,3,"♥1038 赞 · 82866 浏览。Meet the Valkyrie, a spaceship designed for long range recon. It has a…",https://sketchfab.com/3d-models/none-9ae1ab75f5a64d16b11371913fc932e9,https://media.sketchfab.com/models/9ae1ab75f5a64d16b11371913fc932e9/thumbnails/c53c6ae1319c40a3b0076a6e9419d4d0/0b84aa4103664bee974f44f75b1b61c4.jpeg,Sketchfab 渲染图
Xian SpaceShip,3D社区,Valerii Kharitonov,2021,sketchfab,0c414ddf4dfa419983ae5574da3a5242,飞船|外形|3D模型|社区人气,2,♥1013 赞 · 43640 浏览。Quickly made game-ready model in seven days for the employer from the …,https://sketchfab.com/3d-models/none-0c414ddf4dfa419983ae5574da3a5242,https://media.sketchfab.com/models/0c414ddf4dfa419983ae5574da3a5242/thumbnails/f6a5bcef46c240c4af44c40c9ba68ff8/10c296604ca6480cb05005337765ea08.jpeg,Sketchfab 渲染图
