title,search_name,year,source,source_id,score,popularity,genres,format,cover_img,url,tags,ship_ref,note,desc,kind
Knights of Sidonia,Sidonia no Kishi,2009,anilist,43723,74,12802,"Action,Adventure,Drama,Mecha,Sci-Fi",MANGA,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx43723-FWCBxAMFZhWq.jpg,https://anilist.co/manga/43723,世代飞船|硬科幻|机甲,4,希德尼娅的骑士（漫画原作，动画 2014）,,comic
BLAME!,Blame!,1997,anilist,30149,81,64423,"Action,Drama,Horror,Psychological,Sci-Fi",MANGA,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30149-YetcNrfacNVj.jpg,https://anilist.co/manga/30149,赛博朋克|巨构|末世,2,BLAME!：超巨构城市美学,,comic
Battle Angel Alita: Holy Night & Other Stories,Gunnm Last Order,2007,anilist,41471,69,1963,"Action,Sci-Fi",MANGA,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx41471-WY4yyrI9LubH.jpg,https://anilist.co/manga/41471,赛博朋克|义体|火星,1,铳梦 Last Order,,comic
Gantz,Gantz,2000,anilist,30564,77,69326,"Action,Drama,Ecchi,Horror,Psychological,Sci-Fi,Supernatural",MANGA,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30564-RbyFbLzbnKea.jpg,https://anilist.co/manga/30564,科幻|惊悚|死亡游戏,0,Gantz,,comic
Pluto,Pluto,2003,anilist,30745,85,52729,"Drama,Mecha,Mystery,Psychological,Sci-Fi",MANGA,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30745-kueBpwriQkvZ.jpg,https://anilist.co/manga/30745,AI|机器人|悬疑,0,PLUTO：浦泽直树,,comic
Terra Formars,Terra Formars,2011,anilist,67563,69,14599,"Action,Adventure,Horror,Sci-Fi",MANGA,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx67563-AJqT7kcdBZqT.png,https://anilist.co/manga/67563,火星|基因改造|殖民,2,火星异种,,comic
Girls' Last Tour,Girls' Last Tour,2014,anilist,85412,86,49639,"Adventure,Sci-Fi,Slice of Life",MANGA,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx85412-wzZ2QFwbZJED.jpg,https://anilist.co/manga/85412,末世|温情|废土,0,少女终末旅行,,comic
Ajin: Demi-Human,Ajin,2012,anilist,79865,80,62533,"Action,Horror,Mystery,Psychological,Supernatural",MANGA,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/b79865-rwKmISrhJJyP.jpg,https://anilist.co/manga/79865,生物|不死|惊悚,0,亚人,,comic
Inuyashiki,Inuyashiki,2014,anilist,85226,74,26048,"Action,Drama,Psychological,Sci-Fi",MANGA,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx85226-AVgaDp50NGsr.jpg,https://anilist.co/manga/85226,机器人|改造|伦理,0,犬屋敷,,comic
20th Century Boys,20th Century Boys,1999,anilist,30003,88,106176,"Drama,Mystery,Psychological,Sci-Fi,Thriller",MANGA,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30003-E84fwIh22LAQ.jpg,https://anilist.co/manga/30003,悬疑|末世|阴谋,0,20世纪少年：99 边界作,,comic
