app_id,name,release_year,release_date,review_score_desc,positive,total_reviews,positive_pct,steamspy_owners,price_overview,steam_url,header_img,tags,ship_ref,note,match_source
1091500,Cyberpunk 2077,2020,2020-12-09,Very Positive,642845,769557,83.5,0,"{\final\"": 4999",https://store.steampowered.com/app/1091500/,https://cdn.akamai.steamstatic.com/steam/apps/1091500/header.jpg,赛博朋克|夜之城|RPG,1,赛博都市标杆,games.csv
620,Portal 2,2011,2011-04-18,Overwhelmingly Positive,403732,409076,98.7,0,"{\final\"": 975",https://store.steampowered.com/app/620/,https://cdn.akamai.steamstatic.com/steam/apps/620/header.jpg,解谜|AI|传送门,1,光圈科技设施,games.csv
275850,No Man's Sky,2016,2016-08-12,Very Positive,261643,320637,81.6,0,"{\final\"": 2359",https://store.steampowered.com/app/275850/,https://cdn.akamai.steamstatic.com/steam/apps/275850/header.jpg,太空探索|程序生成|生存,2,程序星球+货船,games.csv
264710,Subnautica,\N,\N,Overwhelmingly Positive,277299,286125,96.9,0,"{\final\"": 2999",https://store.steampowered.com/app/264710/,https://cdn.akamai.steamstatic.com/steam/apps/264710/header.jpg,水下|外星|生存,1,异星海洋基地,games.csv
1237970,Titanfall® 2,2020,2020-06-18,Overwhelmingly Positive,225178,236276,95.3,0,"{\final\"": 2999",https://store.steampowered.com/app/1237970/,https://cdn.akamai.steamstatic.com/steam/apps/1237970/header.jpg,机甲|FPS|跑酷,0,泰坦战斗,games.csv
976730,Halo: The Master Chief Collection,\N,\N,Very Positive,215105,232681,92.4,0,"{\final\"": 3999",https://store.steampowered.com/app/976730/,https://cdn.akamai.steamstatic.com/steam/apps/976730/header.jpg,军事科幻|FPS|士官长,2,星盟战争,games.csv
220,Half-Life 2,2004,2004-11-16,Overwhelmingly Positive,196153,201004,97.6,0,"{\final\"": 38500",https://store.steampowered.com/app/220/,https://cdn.akamai.steamstatic.com/steam/apps/220/header.jpg,反乌托邦|FPS|物理,0,17号城,games.csv
294100,RimWorld,2018,2018-10-17,Overwhelmingly Positive,191473,195405,98.0,0,"{\final\"": 35599",https://store.steampowered.com/app/294100/,https://cdn.akamai.steamstatic.com/steam/apps/294100/header.jpg,殖民模拟|故事生成,2,太空殖民社会学,games.csv
526870,Satisfactory,\N,\N,Overwhelmingly Positive,185518,191628,96.8,0,"{\final\"": 3899",https://store.steampowered.com/app/526870/,https://cdn.akamai.steamstatic.com/steam/apps/526870/header.jpg,自动化|工厂|3D,0,工厂自动化,games.csv
427520,Factorio,2020,2020-08-14,Overwhelmingly Positive,182615,187852,97.2,0,"{\final\"": 3200",https://store.steampowered.com/app/427520/,https://cdn.akamai.steamstatic.com/steam/apps/427520/header.jpg,自动化|工厂|硬核,1,船内工业系统参考,games.csv
1240440,Halo Infinite,2021,2021-11-15,Mostly Positive,121734,173549,70.1,0,\N,https://store.steampowered.com/app/1240440/,https://cdn.akamai.steamstatic.com/steam/apps/1240440/header.jpg,军事科幻|FPS|开放世界,1,环带开放世界,raw
281990,Stellaris,2016,2016-05-09,Very Positive,149979,170809,87.8,0,"{\final\"": 3999",https://store.steampowered.com/app/281990/,https://cdn.akamai.steamstatic.com/steam/apps/281990/header.jpg,4X|银河帝国,2,银河尺度文明,games.csv
1716740,Starfield,2023,2023-09-05,Mixed,91516,160543,57.0,0,"{\final\"": 6999",https://store.steampowered.com/app/1716740/,https://cdn.akamai.steamstatic.com/steam/apps/1716740/header.jpg,太空RPG|探索|B社,2,千行星+飞船建造,games.csv
1172380,STAR WARS Jedi: Fallen Order™,\N,\N,Very Positive,131941,148754,88.7,0,"{\final\"": 3999",https://store.steampowered.com/app/1172380/,https://cdn.akamai.steamstatic.com/steam/apps/1172380/header.jpg,星战|动作|冒险,1,绝地武士,games.csv
