tconst,title,year,runtime_min,imdb_rating,num_votes,genres,tags,ship_ref,note,imdb_url
tt1375666,Inception,2010,148,8.8,2850848,"Adventure,Sci-Fi,Thriller",梦境|时间|诺兰,0,多层梦境结构,https://www.imdb.com/title/tt1375666/
tt0816692,Interstellar,2014,169,8.7,2582536,"Adventure,Drama,Sci-Fi",星际航行|硬科幻|黑洞|环形空间站,4,Endurance 与环形中继站设计，主线直接参考,https://www.imdb.com/title/tt0816692/
tt0133093,The Matrix,1999,136,8.7,2267063,"Action,Sci-Fi",赛博朋克|虚拟现实|哲学,0,矩阵：模拟世界,https://www.imdb.com/title/tt0133093/
tt0499549,Avatar,2009,162,7.9,1510232,"Action,Adventure,Fantasy",外星生态|潘多拉|殖民,2,外星生态+基地设计,https://www.imdb.com/title/tt0499549/
tt0120382,The Truman Show,1998,103,8.2,1394929,"Comedy,Drama",反乌托邦|真人秀|社会,0,楚门的世界,https://www.imdb.com/title/tt0120382/
tt2015381,Guardians of the Galaxy,2014,121,8.0,1375718,"Action,Adventure,Comedy",太空歌剧|银河护卫队|喜剧,2,宇宙杂耍,https://www.imdb.com/title/tt2015381/
tt0910970,WALL·E,2008,98,8.4,1334746,"Adventure,Animation,Family",动画|方舟|地球末日,3,Axiom 方舟飞船设计,https://www.imdb.com/title/tt0910970/
tt0103064,Terminator 2: Judgment Day,1991,137,8.6,1293841,"Action,Adventure,Sci-Fi",AI|穿越|动作,0,液态金属终结者,https://www.imdb.com/title/tt0103064/
tt1392190,Mad Max: Fury Road,2015,120,8.1,1215708,"Action,Adventure,Sci-Fi",末世|废土|追车,0,废土美学巅峰,https://www.imdb.com/title/tt1392190/
tt0107290,Jurassic Park,1993,127,8.2,1192145,"Adventure,Sci-Fi",生物工程|恐龙|灾难,0,恐龙复活,https://www.imdb.com/title/tt0107290/
tt1392170,The Hunger Games,2012,142,7.2,1089969,"Action,Adventure,Sci-Fi",反乌托邦|竞技|青少年,0,饥饿游戏,https://www.imdb.com/title/tt1392170/
tt1160419,Dune: Part One,2021,155,8.0,1081703,"Action,Adventure,Drama",太空歌剧|沙丘|生态,2,厄拉科斯+香料生态,https://www.imdb.com/title/tt1160419/
tt2488496,Star Wars: Episode VII - The Force Awakens,2015,138,7.7,1032064,"Action,Adventure,Sci-Fi",太空歌剧|星战|重启,2,星战新三部曲,https://www.imdb.com/title/tt2488496/
tt3659388,The Martian,2015,144,8.0,1023891,"Adventure,Drama,Sci-Fi",火星殖民|硬科幻|生存,1,火星基地工程细节扎实,https://www.imdb.com/title/tt3659388/
tt0088247,The Terminator,1984,107,8.1,1013052,"Action,Adventure,Sci-Fi",AI|穿越|末日,0,天网起源,https://www.imdb.com/title/tt0088247/
tt0120915,Star Wars: Episode I - The Phantom Menace,1999,136,6.5,934985,"Action,Adventure,Fantasy",太空歌剧|星战|前传,1,纳布+贸易联盟舰队,https://www.imdb.com/title/tt0120915/
tt0246578,Donnie Darko,2001,113,8.0,916803,"Drama,Mystery,Sci-Fi",时间|心理|cult,0,兔子人时间线,https://www.imdb.com/title/tt0246578/
tt1454468,Gravity,2013,91,7.7,904034,"Drama,Sci-Fi,Thriller",近地轨道|太空灾难|硬科幻,1,失重/轨道物理教科书级,https://www.imdb.com/title/tt1454468/
tt0083658,Blade Runner,1982,117,8.1,887314,"Action,Drama,Sci-Fi",赛博朋克|反乌托邦|近未来,1,赛博朋克视觉标杆,https://www.imdb.com/title/tt0083658/
tt0480249,I Am Legend,2007,101,7.2,884612,"Drama,Horror,Sci-Fi",末世|孤独|变异,0,纽约孤城,https://www.imdb.com/title/tt0480249/
tt2543164,Arrival,2016,116,7.9,874080,"Drama,Mystery,Sci-Fi",外星接触|语言学|硬科幻,2,外星飞船造型经典,https://www.imdb.com/title/tt2543164/
tt0090605,Aliens,1986,137,8.4,845053,"Action,Adventure,Horror",太空恐怖|殖民|军事,1,苏拉科级运输舰+殖民地,https://www.imdb.com/title/tt0090605/
tt3896198,Guardians of the Galaxy: Vol. 2,2017,136,7.6,839223,"Action,Adventure,Comedy",太空歌剧|银河护卫队,2,ego 星球,https://www.imdb.com/title/tt3896198/
tt1631867,Edge of Tomorrow,2014,113,7.9,811544,"Action,Adventure,Sci-Fi",时间循环|军事|机甲,1,外骨骼动力甲设计,https://www.imdb.com/title/tt1631867/
tt0816711,World War Z,2013,116,7.0,790767,"Action,Adventure,Horror",丧尸|全球|灾难,0,丧尸海,https://www.imdb.com/title/tt0816711/
tt15239678,Dune: Part Two,2024,166,8.4,782517,"Action,Adventure,Drama",太空歌剧|沙丘|战争,2,沙虫战争,https://www.imdb.com/title/tt15239678/
tt1856101,Blade Runner 2049,2017,164,8.0,763298,"Action,Drama,Mystery",赛博朋克|AI|复制人,2,城市+载具设计标杆,https://www.imdb.com/title/tt1856101/
tt3748528,Rogue One: A Star Wars Story,2016,133,7.8,762544,"Action,Adventure,Sci-Fi",太空歌剧|星战|战争,2,死星蓝图行动,https://www.imdb.com/title/tt3748528/
tt1136608,District 9,2009,112,7.9,755847,"Action,Sci-Fi,Thriller",外星难民|隔离|伪纪录,2,外星飞船+贫民窟,https://www.imdb.com/title/tt1136608/
tt1798709,Her,2013,126,8.0,731283,"Drama,Romance,Sci-Fi",AI|爱情|近未来,0,AI 关系哲学,https://www.imdb.com/title/tt1798709/
tt2527336,Star Wars: Episode VIII - The Last Jedi,2017,152,6.8,724189,"Action,Adventure,Fantasy",太空歌剧|星战,2,星战新三部曲,https://www.imdb.com/title/tt2527336/
tt0418279,Transformers,2007,144,7.1,723671,"Action,Adventure,Sci-Fi",机甲|外星|爆米花,1,变形金刚,https://www.imdb.com/title/tt0418279/
tt1446714,Prometheus,2012,124,7.0,704811,"Adventure,Sci-Fi",异形前传|外星|工程,3,探索舰+星球基地+工程师,https://www.imdb.com/title/tt1446714/
