tconst,title,year,runtime_min,imdb_rating,num_votes,genres,tags,ship_ref,note,imdb_url
tt3581920,The Last of Us,2023,50,8.4,745918,"Action,Adventure,Drama",末世|真菌|父女,0,真菌末世,https://www.imdb.com/title/tt3581920/
tt2085059,Black Mirror,2011,60,8.7,744804,"Crime,Drama,Mystery",反乌托邦|AI|近未来|单元剧,0,科技寓言集,https://www.imdb.com/title/tt2085059/
tt8111088,The Mandalorian,2019,40,8.6,662632,"Action,Adventure,Fantasy",星战|西部|赏金猎人,2,星战宇宙细节,https://www.imdb.com/title/tt8111088/
tt0475784,Westworld,2016,60,8.4,559885,"Drama,Mystery,Sci-Fi",AI|乐园|西部|觉醒,0,接待员觉醒,https://www.imdb.com/title/tt0475784/
tt5753856,Dark,2017,60,8.7,556520,"Crime,Drama,Mystery",时间旅行|德语|悬疑|循环,0,温登时间网,https://www.imdb.com/title/tt5753856/
tt11280740,Severance,2022,50,8.6,400239,"Drama,Mystery,Sci-Fi",意识分割|反乌托邦|职场,0,工作/生活记忆分离,https://www.imdb.com/title/tt11280740/
tt2661044,The 100,2014,43,7.5,306550,"Action,Drama,Mystery",方舟空间站|末世|青少年,3,方舟空间站坠落地球,https://www.imdb.com/title/tt2661044/
tt0303461,Firefly,2002,45,8.9,303326,"Adventure,Sci-Fi",太空歌剧|西部|独立舰,2,Serenity 号内部设计参考,https://www.imdb.com/title/tt0303461/
tt9253284,Andor,2022,60,8.6,283201,"Adventure,Drama,Fantasy",星战|谍战|政治,2,星战最扎实剧集,https://www.imdb.com/title/tt9253284/
tt1119644,Fringe,2008,46,8.4,271755,"Drama,Mystery,Sci-Fi",平行世界|边缘科学|FBI,0,边缘档案,https://www.imdb.com/title/tt1119644/
tt0436992,Doctor Who,2005,45,8.5,263537,"Adventure,Drama,Sci-Fi",时间旅行|太空歌剧|英剧,1,TARDIS 与飞船设计多样,https://www.imdb.com/title/tt0436992/
tt9561862,"Love, Death & Robots",2019,15,8.4,231521,"Action,Adventure,Animation",短片集|动画|多元,1,风格试验田,https://www.imdb.com/title/tt9561862/
tt14688458,Silo,2023,49,8.1,225693,"Drama,Mystery,Sci-Fi",反乌托邦|末世|地窖,1,地下巨窖社会,https://www.imdb.com/title/tt14688458/
tt1839578,Person of Interest,2011,43,8.5,213474,"Action,Crime,Drama",AI|监视|犯罪,0,机器先知,https://www.imdb.com/title/tt1839578/
tt2261227,Altered Carbon,2018,60,7.9,203538,"Action,Adventure,Drama",赛博朋克|意识|义体,1,意识数字化,https://www.imdb.com/title/tt2261227/
tt3230854,The Expanse,2015,60,8.5,193835,"Drama,Mystery,Sci-Fi",世代飞船|硬科幻|太空歌剧|地缘政治,4,Nauvoo/Behemoth 世代飞船+舰船细节标杆，主线第一参考,https://www.imdb.com/title/tt3230854/
tt0407362,Battlestar Galactica,2004,45,8.7,187884,"Action,Adventure,Drama",方舟舰队|末世|太空歌剧|宗教,4,人类流亡舰队，社会+工程双重参考,https://www.imdb.com/title/tt0407362/
tt13016388,3 Body Problem,2024,60,7.5,183563,"Adventure,Drama,Fantasy",硬科幻|外星|三体|物理学,3,三体问题+星际舰队计划,https://www.imdb.com/title/tt13016388/
tt5171438,Star Trek: Discovery,2017,60,6.9,146648,"Action,Adventure,Drama",星际迷航|探索,2,星联新舰,https://www.imdb.com/title/tt5171438/
tt0804484,Foundation,2021,60,7.6,127996,"Drama,Sci-Fi",太空歌剧|帝国|心理史学|视觉,2,银河帝国+殖民舰设计,https://www.imdb.com/title/tt0804484/
tt1740299,The Man in the High Castle,2015,60,7.9,125624,"Drama,Sci-Fi,Thriller",架空历史|平行世界|轴心国,0,轴心国获胜世界,https://www.imdb.com/title/tt1740299/
tt2234222,Orphan Black,2013,44,8.3,125586,"Drama,Sci-Fi,Thriller",克隆|惊悚|身份,0,克隆姐妹,https://www.imdb.com/title/tt2234222/
tt9319668,1899,2022,60,7.3,124755,"Adventure,Drama,Thriller",方舟船|迷案|悬疑,3,船上方舟隐喻（船舶形态）,https://www.imdb.com/title/tt9319668/
tt5232792,Lost in Space,2018,60,7.3,114180,"Adventure,Drama,Family",方舟殖民|太空家庭|冒险,3,殖民方舟 Resolute 号+行星基地,https://www.imdb.com/title/tt5232792/
tt2934286,Halo,2022,60,7.3,110928,"Action,Adventure,Sci-Fi",军事科幻|游戏改编,1,士官长,https://www.imdb.com/title/tt2934286/
tt5691552,The Orville,2017,45,8.0,110236,"Adventure,Comedy,Sci-Fi",太空歌剧|喜剧|致敬,1,迷航喜剧版,https://www.imdb.com/title/tt5691552/
tt8806524,Star Trek: Picard,2020,46,7.5,102091,"Action,Adventure,Drama",星际迷航|续作,2,皮卡德晚年,https://www.imdb.com/title/tt8806524/
