tconst,title,year,runtime_min,genres,imdb_rating,num_votes,imdb_url
tt0475784,Westworld,2016,60,"Drama,Mystery,Sci-Fi",8.4,559885,https://www.imdb.com/title/tt0475784/
tt11280740,Severance,2022,50,"Drama,Mystery,Sci-Fi",8.6,400239,https://www.imdb.com/title/tt11280740/
tt1844624,American Horror Story,2011,60,"Drama,Horror,Sci-Fi",7.9,363260,https://www.imdb.com/title/tt1844624/
tt0303461,Firefly,2002,45,"Adventure,Sci-Fi",8.9,303326,https://www.imdb.com/title/tt0303461/
tt5834204,The Handmaid's Tale,2017,60,"Drama,Sci-Fi,Thriller",8.3,302909,https://www.imdb.com/title/tt5834204/
tt1119644,Fringe,2008,46,"Drama,Mystery,Sci-Fi",8.4,271755,https://www.imdb.com/title/tt1119644/
tt8466564,Obi-Wan Kenobi,2022,45,"Action,Adventure,Sci-Fi",7.0,265568,https://www.imdb.com/title/tt8466564/
tt0436992,Doctor Who,2005,45,"Adventure,Drama,Sci-Fi",8.5,263537,https://www.imdb.com/title/tt0436992/
tt2364582,Agents of S.H.I.E.L.D.,2013,45,"Action,Adventure,Sci-Fi",7.5,236395,https://www.imdb.com/title/tt2364582/
tt14688458,Silo,2023,49,"Drama,Mystery,Sci-Fi",8.1,225693,https://www.imdb.com/title/tt14688458/
tt13668894,The Book of Boba Fett,2021,50,"Action,Adventure,Sci-Fi",7.1,212063,https://www.imdb.com/title/tt13668894/
tt3230854,The Expanse,2015,60,"Drama,Mystery,Sci-Fi",8.5,193835,https://www.imdb.com/title/tt3230854/
tt2431438,Sense8,2015,60,"Drama,Mystery,Sci-Fi",8.2,172336,https://www.imdb.com/title/tt2431438/
tt22202452,Pluribus,2025,60,"Drama,Sci-Fi",7.9,167880,https://www.imdb.com/title/tt22202452/
tt3743822,Fear the Walking Dead,2015,44,"Drama,Horror,Sci-Fi",6.7,154741,https://www.imdb.com/title/tt3743822/
tt0804484,Foundation,2021,60,"Drama,Sci-Fi",7.6,127996,https://www.imdb.com/title/tt0804484/
tt1740299,The Man in the High Castle,2015,60,"Drama,Sci-Fi,Thriller",7.9,125624,https://www.imdb.com/title/tt1740299/
tt2234222,Orphan Black,2013,44,"Drama,Sci-Fi,Thriller",8.3,125586,https://www.imdb.com/title/tt2234222/
tt1553656,Under the Dome,2013,43,"Drama,Mystery,Sci-Fi",6.5,119306,https://www.imdb.com/title/tt1553656/
tt7949218,See,2019,60,"Action,Drama,Sci-Fi",7.6,111844,https://www.imdb.com/title/tt7949218/
tt2934286,Halo,2022,60,"Action,Adventure,Sci-Fi",7.3,110928,https://www.imdb.com/title/tt2934286/
tt5691552,The Orville,2017,45,"Adventure,Comedy,Sci-Fi",8.0,110236,https://www.imdb.com/title/tt5691552/
tt13623632,Alien: Earth,2025,55,"Horror,Sci-Fi,Thriller",7.1,108024,https://www.imdb.com/title/tt13623632/
tt8421350,Manifest,2018,43,"Drama,Mystery,Sci-Fi",7.0,106089,https://www.imdb.com/title/tt8421350/
tt5114356,Legion,2017,60,"Action,Sci-Fi,Thriller",8.1,104254,https://www.imdb.com/title/tt5114356/
tt5580146,Maniac,2018,40,"Comedy,Drama,Sci-Fi",7.6,93756,https://www.imdb.com/title/tt5580146/
tt9170108,Raised by Wolves,2020,55,"Drama,Fantasy,Sci-Fi",7.4,93341,https://www.imdb.com/title/tt9170108/
tt7772588,For All Mankind,2019,60,"Drama,Sci-Fi",8.1,92211,https://www.imdb.com/title/tt7772588/
