title,search_name,author,year,source,source_id,rating,rating_count,cover_img,url,tags,ship_ref,note,desc
三体,The Three-Body Problem,Liu Cixin,2008,openlibrary,/works/OL17267881W,3.9,216,https://covers.openlibrary.org/b/id/9157544-L.jpg,https://openlibrary.org/works/OL17267881W,硬科幻|外星接触|三体|中国,2,三体：舰队+飞船设计（自然选择号等）,
The Dark Forest (The Three-Body Problem Series Book 2),The Dark Forest,Liu Cixin,2008,openlibrary,/works/OL16314245W,4.4,35,https://covers.openlibrary.org/b/id/10526598-L.jpg,https://openlibrary.org/works/OL16314245W,硬科幻|面壁计划|舰队,2,三体II 黑暗森林：自然选择号/蓝色空间号,
Death's End (The Three-Body Problem Series Book 3),Death's End,Liu Cixin,2010,openlibrary,/works/OL17610507W,4.4,103,https://covers.openlibrary.org/b/id/7893958-L.jpg,https://openlibrary.org/works/OL17610507W,硬科幻|星际舰队|二向箔,2,三体III 死神永生：星舰地球,
Seveneves,Seveneves,Neal Stephenson,2015,openlibrary,/works/OL17829905W,4.4,20,https://covers.openlibrary.org/b/id/9295719-L.jpg,https://openlibrary.org/works/OL17829905W,方舟|轨道工程|末世|硬科幻,3,七夏娃：方舟计划+轨道生存工程,
Aurora,Aurora,Kim Stanley Robinson,2015,openlibrary,/works/OL17346803W,3.8,29,https://covers.openlibrary.org/b/id/7425787-L.jpg,https://openlibrary.org/works/OL17346803W,世代飞船|生态|社会|硬科幻,4,极光：世代飞船到达系外后的社会与工程困境，主线直接参考,
Ark,Ark,Stephen Baxter,2009,openlibrary,/works/OL14912446W,4.0,2,https://covers.openlibrary.org/b/id/7378825-L.jpg,https://openlibrary.org/works/OL14912446W,世代飞船|方舟|末世,4,方舟号：地球灾变下世代飞船启航,
Leviathan Wakes,Leviathan Wakes,James S. A. Corey,2009,openlibrary,/works/OL16114008W,4.3,166,https://covers.openlibrary.org/b/id/7314237-L.jpg,https://openlibrary.org/works/OL16114008W,硬科幻|太空歌剧|舰船|地缘政治,3,The Expanse 系列：舰船工程细节标杆,
Project Hail Mary,Project Hail Mary,Andy Weir,2021,openlibrary,/works/OL21745884W,4.5,175,https://covers.openlibrary.org/b/id/11200092-L.jpg,https://openlibrary.org/works/OL21745884W,硬科幻|工程谜题|外星接触,2,火星救援作者：飞船工程+谜题,
The Martian,The Martian,Andy Weir,2011,openlibrary,/works/OL17091839W,4.4,336,https://covers.openlibrary.org/b/id/11447888-L.jpg,https://openlibrary.org/works/OL17091839W,硬科幻|火星|生存,1,火星救援：轨道力学+生存工程,
Blindsight,Blindsight,Peter Watts,2006,openlibrary,/works/OL8514692W,4.1,68,https://covers.openlibrary.org/b/id/524560-L.jpg,https://openlibrary.org/works/OL8514692W,硬科幻|意识|第一接触,2,盲视：Theseus 探索舰,
A Fire upon the Deep,A Fire Upon the Deep,Vernor Vinge,1992,openlibrary,/works/OL1975714W,4.2,72,https://covers.openlibrary.org/b/id/9261466-L.jpg,https://openlibrary.org/works/OL1975714W,太空歌剧|意识|星际网络,2,深渊上的火：信息空间科幻经典,
"To Be Taught, If Fortunate","To Be Taught, If Fortunate",Becky Chambers,2019,openlibrary,/works/OL20642211W,4.1,30,https://covers.openlibrary.org/b/id/10114139-L.jpg,https://openlibrary.org/works/OL20642211W,远航|生物|人文,2,若幸运即教你：深空远航+生态改造,
Ender's Game,Ender's Game,Orson Scott Card,1985,openlibrary,/works/OL49488W,4.3,415,https://covers.openlibrary.org/b/id/12996033-L.jpg,https://openlibrary.org/works/OL49488W,太空战|训练|策略,1,安德的游戏：舰队战经典,
Hyperion,Hyperion,Dan Simmons,1989,openlibrary,/works/OL1963268W,4.2,155,https://covers.openlibrary.org/b/id/380332-L.jpg,https://openlibrary.org/works/OL1963268W,太空歌剧|朝圣|AI,1,海伯利安：朝圣者叙事+远距传送,
"Dune, Dune Messiah, Children of Dune",Dune,Frank Herbert,1969,openlibrary,/works/OL893444W,4.2,20,https://covers.openlibrary.org/b/id/379932-L.jpg,https://openlibrary.org/works/OL893444W,生态|政治|沙丘,1,沙丘：帝国生态政治经典,
The Hitchhiker's Guide to the Galaxy,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1979,openlibrary,/works/OL2163649W,4.5,178,https://covers.openlibrary.org/b/id/12986869-L.jpg,https://openlibrary.org/works/OL2163649W,喜剧|太空旅行,1,银河系漫游指南：黄金之心号,
Annihilation,Annihilation,Jeff VanderMeer,2014,openlibrary,/works/OL17268007W,3.6,100,https://covers.openlibrary.org/b/id/8408974-L.jpg,https://openlibrary.org/works/OL17268007W,南境|未知|生物,0,遗落的南境：生物恐怖,
The Calculating Stars,The Calculating Stars,Mary Robinette Kowal,2018,openlibrary,/works/OL18021949W,3.8,8,https://covers.openlibrary.org/b/id/8290909-L.jpg,https://openlibrary.org/works/OL18021949W,航天|历史科幻|方舟,1,计算之星：灾变后航天计划,
A Memory Called Empire,A Memory Called Empire,Arkady Martine,2019,openlibrary,/works/OL20157046W,4.1,38,https://covers.openlibrary.org/b/id/8802134-L.jpg,https://openlibrary.org/works/OL20157046W,太空歌剧|政治|文化,1,记忆名为帝国：文化碰撞,
Children of Time,Children of Time,Adrian Tchaikovsky,2015,openlibrary,/works/OL17373843W,4.2,76,https://covers.openlibrary.org/b/id/8264706-L.jpg,https://openlibrary.org/works/OL17373843W,进化|生态|长时段,1,时间之子：蜘蛛文明进化史诗,
Solaris,Solaris,Stanislaw Lem,1961,openlibrary,/works/OL109524W,3.9,28,https://covers.openlibrary.org/b/id/12313764-L.jpg,https://openlibrary.org/works/OL109524W,第一接触|未知|哲学,0,索拉里斯：意识海洋经典,
The Dispossessed,The Dispossessed,Ursula K. Le Guin,1974,openlibrary,/works/OL59863W,4.5,36,https://covers.openlibrary.org/b/id/6979680-L.jpg,https://openlibrary.org/works/OL59863W,反乌托邦|无政府|社会学,0,一无所有：双世界社会实验,
Ringworld,Ringworld,Larry Niven,1970,openlibrary,/works/OL510405W,3.8,99,https://covers.openlibrary.org/b/id/8999878-L.jpg,https://openlibrary.org/works/OL510405W,巨构|工程|探索,3,环形世界：巨构工程经典,
Tau Zero,Tau Zero,Poul Anderson,1970,openlibrary,/works/OL90571W,4.3,3,https://covers.openlibrary.org/b/id/380391-L.jpg,https://openlibrary.org/works/OL90571W,相对论|世代飞船|近光速,4,近光速世代飞船：时间膨胀经典,
