维度,纪元,空间带,状态,产物数,备注
工程,替代,①地球,FULL,3,
工程,替代,②地月系,PART,1,
工程,替代,③内太阳系,PART,1,
工程,替代,④深空,PART,1,
工程,替代,⑤比邻星,PART,1,
工程,竞赛,①地球,PART,1,
工程,竞赛,②地月系,PART,1,
工程,竞赛,③内太阳系,PART,1,
工程,竞赛,④深空,PART,1,
工程,竞赛,⑤比邻星,PART,1,
工程,丰裕,①地球,PART,1,
工程,丰裕,②地月系,PART,1,
工程,丰裕,③内太阳系,PART,1,
工程,丰裕,④深空,PART,1,
工程,丰裕,⑤比邻星,PART,1,
工程,离心,①地球,PART,1,
工程,离心,②地月系,PART,1,
工程,离心,③内太阳系,FULL,3,
工程,离心,④深空,PART,1,
工程,离心,⑤比邻星,PART,1,
工程,启航,①地球,PART,1,
工程,启航,②地月系,PART,1,
工程,启航,③内太阳系,PART,1,
工程,启航,④深空,PART,2,
工程,启航,⑤比邻星,PART,1,
工程,落地,①地球,PART,1,
工程,落地,②地月系,PART,1,
工程,落地,③内太阳系,PART,1,
工程,落地,④深空,PART,1,
工程,落地,⑤比邻星,PART,1,
工程,双星系,①地球,PART,1,
工程,双星系,②地月系,PART,1,
工程,双星系,③内太阳系,PART,1,
工程,双星系,④深空,PART,2,
工程,双星系,⑤比邻星,PART,1,
人,替代,①地球,PART,2,
人,替代,②地月系,PART,1,
人,替代,③内太阳系,PART,1,
人,替代,④深空,PART,1,
人,替代,⑤比邻星,PART,1,
人,竞赛,①地球,PART,1,
人,竞赛,②地月系,PART,2,
人,竞赛,③内太阳系,PART,1,
人,竞赛,④深空,PART,1,
人,竞赛,⑤比邻星,PART,1,
人,丰裕,①地球,PART,1,
人,丰裕,②地月系,PART,1,
人,丰裕,③内太阳系,PART,1,
人,丰裕,④深空,PART,1,
人,丰裕,⑤比邻星,PART,1,
人,离心,①地球,PART,1,
人,离心,②地月系,PART,1,
人,离心,③内太阳系,PART,1,
人,离心,④深空,PART,1,
人,离心,⑤比邻星,PART,1,
人,启航,①地球,PART,1,
人,启航,②地月系,PART,1,
人,启航,③内太阳系,PART,1,
人,启航,④深空,PART,2,
人,启航,⑤比邻星,PART,1,
人,落地,①地球,PART,1,
人,落地,②地月系,PART,1,
人,落地,③内太阳系,PART,1,
人,落地,④深空,PART,1,
人,落地,⑤比邻星,PART,2,
人,双星系,①地球,PART,1,
人,双星系,②地月系,PART,1,
人,双星系,③内太阳系,PART,1,
人,双星系,④深空,PART,1,
人,双星系,⑤比邻星,PART,1,
社会,替代,①地球,PART,2,
社会,替代,②地月系,PART,1,
社会,替代,③内太阳系,PART,1,
社会,替代,④深空,PART,1,
社会,替代,⑤比邻星,PART,1,
社会,竞赛,①地球,PART,1,
社会,竞赛,②地月系,PART,1,
社会,竞赛,③内太阳系,PART,1,
社会,竞赛,④深空,PART,1,
社会,竞赛,⑤比邻星,PART,1,
社会,丰裕,①地球,PART,1,
社会,丰裕,②地月系,PART,1,
社会,丰裕,③内太阳系,PART,1,
社会,丰裕,④深空,PART,1,
社会,丰裕,⑤比邻星,PART,1,
社会,离心,①地球,PART,1,
社会,离心,②地月系,PART,1,
社会,离心,③内太阳系,FULL,5,
社会,离心,④深空,PART,1,
社会,离心,⑤比邻星,PART,1,
社会,启航,①地球,PART,1,
社会,启航,②地月系,PART,1,
社会,启航,③内太阳系,PART,1,
社会,启航,④深空,PART,1,
社会,启航,⑤比邻星,PART,1,
社会,落地,①地球,PART,1,
社会,落地,②地月系,PART,1,
社会,落地,③内太阳系,PART,1,
社会,落地,④深空,PART,1,
社会,落地,⑤比邻星,PART,2,
社会,双星系,①地球,PART,1,
社会,双星系,②地月系,PART,1,
社会,双星系,③内太阳系,PART,1,
社会,双星系,④深空,PART,1,
社会,双星系,⑤比邻星,PART,1,
经济,替代,①地球,PART,1,
经济,替代,②地月系,PART,1,
经济,替代,③内太阳系,PART,1,
经济,替代,④深空,PART,1,
经济,替代,⑤比邻星,PART,1,
经济,竞赛,①地球,PART,1,
经济,竞赛,②地月系,PART,1,
经济,竞赛,③内太阳系,PART,2,
经济,竞赛,④深空,PART,1,
经济,竞赛,⑤比邻星,PART,1,
经济,丰裕,①地球,PART,2,
经济,丰裕,②地月系,PART,1,
经济,丰裕,③内太阳系,PART,1,
经济,丰裕,④深空,PART,1,
经济,丰裕,⑤比邻星,PART,1,
经济,离心,①地球,PART,1,
经济,离心,②地月系,PART,1,
经济,离心,③内太阳系,PART,1,
经济,离心,④深空,PART,1,
经济,离心,⑤比邻星,PART,1,
经济,启航,①地球,PART,1,
经济,启航,②地月系,PART,1,
经济,启航,③内太阳系,PART,1,
经济,启航,④深空,PART,1,
经济,启航,⑤比邻星,PART,1,
经济,落地,①地球,PART,1,
经济,落地,②地月系,PART,1,
经济,落地,③内太阳系,PART,1,
经济,落地,④深空,PART,1,
经济,落地,⑤比邻星,PART,1,
经济,双星系,①地球,PART,1,
经济,双星系,②地月系,PART,1,
经济,双星系,③内太阳系,PART,1,
经济,双星系,④深空,PART,1,
经济,双星系,⑤比邻星,PART,1,
生态,替代,①地球,PART,1,
生态,替代,②地月系,PART,1,
生态,替代,③内太阳系,PART,1,
生态,替代,④深空,PART,1,
生态,替代,⑤比邻星,PART,1,
生态,竞赛,①地球,PART,1,
生态,竞赛,②地月系,PART,1,
生态,竞赛,③内太阳系,PART,1,
生态,竞赛,④深空,PART,1,
生态,竞赛,⑤比邻星,PART,1,
生态,丰裕,①地球,PART,1,
生态,丰裕,②地月系,PART,1,
生态,丰裕,③内太阳系,PART,2,
生态,丰裕,④深空,PART,1,
生态,丰裕,⑤比邻星,PART,1,
生态,离心,①地球,PART,1,
生态,离心,②地月系,PART,1,
生态,离心,③内太阳系,PART,2,
生态,离心,④深空,PART,1,
生态,离心,⑤比邻星,PART,1,
生态,启航,①地球,PART,1,
生态,启航,②地月系,PART,1,
生态,启航,③内太阳系,PART,1,
生态,启航,④深空,FULL,3,
生态,启航,⑤比邻星,PART,1,
生态,落地,①地球,PART,1,
生态,落地,②地月系,PART,1,
生态,落地,③内太阳系,PART,1,
生态,落地,④深空,PART,1,
生态,落地,⑤比邻星,PART,1,
生态,双星系,①地球,PART,1,
生态,双星系,②地月系,PART,1,
生态,双星系,③内太阳系,PART,1,
生态,双星系,④深空,PART,1,
生态,双星系,⑤比邻星,PART,1,
文化,替代,①地球,PART,1,
文化,替代,②地月系,PART,1,
文化,替代,③内太阳系,PART,1,
文化,替代,④深空,PART,1,
文化,替代,⑤比邻星,PART,1,
文化,竞赛,①地球,PART,2,
文化,竞赛,②地月系,PART,1,
文化,竞赛,③内太阳系,PART,1,
文化,竞赛,④深空,PART,1,
文化,竞赛,⑤比邻星,PART,1,
文化,丰裕,①地球,PART,1,
文化,丰裕,②地月系,PART,1,
文化,丰裕,③内太阳系,PART,1,
文化,丰裕,④深空,PART,1,
文化,丰裕,⑤比邻星,PART,1,
文化,离心,①地球,PART,1,
文化,离心,②地月系,PART,1,
文化,离心,③内太阳系,PART,1,
文化,离心,④深空,PART,1,
文化,离心,⑤比邻星,PART,1,
文化,启航,①地球,PART,1,
文化,启航,②地月系,PART,1,
文化,启航,③内太阳系,PART,1,
文化,启航,④深空,PART,2,
文化,启航,⑤比邻星,PART,1,
文化,落地,①地球,PART,1,
文化,落地,②地月系,PART,1,
文化,落地,③内太阳系,PART,1,
文化,落地,④深空,PART,1,
文化,落地,⑤比邻星,PART,2,
文化,双星系,①地球,PART,1,
文化,双星系,②地月系,PART,1,
文化,双星系,③内太阳系,PART,1,
文化,双星系,④深空,PART,1,
文化,双星系,⑤比邻星,PART,1,
知识,替代,①地球,PART,1,
知识,替代,②地月系,PART,1,
知识,替代,③内太阳系,PART,1,
知识,替代,④深空,PART,1,
知识,替代,⑤比邻星,PART,1,
知识,竞赛,①地球,PART,1,
知识,竞赛,②地月系,PART,1,
知识,竞赛,③内太阳系,PART,1,
知识,竞赛,④深空,PART,1,
知识,竞赛,⑤比邻星,PART,1,
知识,丰裕,①地球,PART,1,
知识,丰裕,②地月系,PART,1,
知识,丰裕,③内太阳系,PART,1,
知识,丰裕,④深空,PART,1,
知识,丰裕,⑤比邻星,PART,1,
知识,离心,①地球,PART,1,
知识,离心,②地月系,PART,1,
知识,离心,③内太阳系,PART,1,
知识,离心,④深空,PART,1,
知识,离心,⑤比邻星,PART,1,
知识,启航,①地球,PART,1,
知识,启航,②地月系,PART,1,
知识,启航,③内太阳系,PART,1,
知识,启航,④深空,PART,1,
知识,启航,⑤比邻星,PART,1,
知识,落地,①地球,PART,1,
知识,落地,②地月系,PART,1,
知识,落地,③内太阳系,PART,1,
知识,落地,④深空,PART,1,
知识,落地,⑤比邻星,PART,2,
知识,双星系,①地球,PART,1,
知识,双星系,②地月系,PART,1,
知识,双星系,③内太阳系,PART,1,
知识,双星系,④深空,PART,2,
知识,双星系,⑤比邻星,PART,1,
