维度,纪元,空间带,学派形态,领域切片,状态,产物数
工程,替代,①地球,官档,01主承力,PART,2
工程,替代,①地球,官档,02推进工质,OPEN,0
工程,替代,①地球,官档,03主动磁防,OPEN,0
工程,替代,①地球,官档,04能源聚变,OPEN,0
工程,替代,①地球,官档,05生命闭环,OPEN,0
工程,替代,①地球,官档,06自控算力,OPEN,0
工程,替代,①地球,官档,07拆解延寿,OPEN,0
工程,替代,①地球,私档,01主承力,OPEN,0
工程,替代,①地球,私档,02推进工质,OPEN,0
工程,替代,①地球,私档,03主动磁防,OPEN,0
工程,替代,①地球,私档,04能源聚变,OPEN,0
工程,替代,①地球,私档,05生命闭环,OPEN,0
工程,替代,①地球,私档,06自控算力,OPEN,0
工程,替代,①地球,私档,07拆解延寿,OPEN,0
工程,替代,①地球,互济,01主承力,OPEN,0
工程,替代,①地球,互济,02推进工质,OPEN,0
工程,替代,①地球,互济,03主动磁防,OPEN,0
工程,替代,①地球,互济,04能源聚变,OPEN,0
工程,替代,①地球,互济,05生命闭环,OPEN,0
工程,替代,①地球,互济,06自控算力,OPEN,0
工程,替代,①地球,互济,07拆解延寿,OPEN,0
工程,替代,①地球,商贸,01主承力,OPEN,0
工程,替代,①地球,商贸,02推进工质,OPEN,0
工程,替代,①地球,商贸,03主动磁防,OPEN,0
工程,替代,①地球,商贸,04能源聚变,OPEN,0
工程,替代,①地球,商贸,05生命闭环,OPEN,0
工程,替代,①地球,商贸,06自控算力,OPEN,0
工程,替代,①地球,商贸,07拆解延寿,OPEN,0
工程,替代,①地球,工技,01主承力,OPEN,0
工程,替代,①地球,工技,02推进工质,OPEN,0
工程,替代,①地球,工技,03主动磁防,OPEN,0
工程,替代,①地球,工技,04能源聚变,OPEN,0
工程,替代,①地球,工技,05生命闭环,OPEN,0
工程,替代,①地球,工技,06自控算力,PART,1
工程,替代,①地球,工技,07拆解延寿,OPEN,0
工程,替代,①地球,科医,01主承力,OPEN,0
工程,替代,①地球,科医,02推进工质,OPEN,0
工程,替代,①地球,科医,03主动磁防,OPEN,0
工程,替代,①地球,科医,04能源聚变,OPEN,0
工程,替代,①地球,科医,05生命闭环,OPEN,0
